area_name,auto_theft_coordinated_traced,auto_theft_recovered,auto_theft_stolen,calendar_year,cases_property_recovered,cases_property_stolen,cpa_cases_registered,cpa_cases_reported_for_dept._action,cpa_cases_sent_for_trials_chargesheeted,cpa_complaints_cases_declared_false_unsubstantiated,cpa_complaints_received_alleged,cpa_no_of_departmental_enquiries,cpa_no_of_judicial_enquiries,cpa_no_of_magisterial_enquiries,cpb_police_personnel_acquitted,cpb_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpb_police_personnel_convicted,cpb_police_personnel_sent_up_for_trial,cpb_police_personnel_trial_completed,cpc_police_personnel_cases_trial_completed,cpc_police_personnel_cases_withdrawn_or_otherwise_disposed_of,cpc_police_personnel_disciplinary_action_initiated,cpc_police_personnel_dismissal_removal_from_service,cpc_police_personnel_major_punishment_awarded,cpc_police_personnel_minor_punishment_awarded,df_auto_theft,df_complaints_against_police,df_property_stolen_and_recovered,df_serious_fraud,df_victims_of_rape,group_name,loss_of_property_10_25_crores,loss_of_property_1_10_crores,loss_of_property_25_50_crores,loss_of_property_50_100_crores,loss_of_property_above_100_crores,sub_group_name,value_of_property_recovered,value_of_property_stolen,victims_above_50_yrs,victims_between_1014_yrs,victims_between_1418_yrs,victims_between_1830_yrs,victims_between_3050_yrs,victims_of_rape_total,victims_upto_10_yrs
Andaman & Nicobar Islands,0,4,4,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Andhra Pradesh,136,1311,2725,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,21,27,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Assam,0,94,205,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Bihar,44,205,946,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chandigarh,0,107,281,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Chhattisgarh,0,338,790,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,0,4,12,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Delhi,62,688,3185,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
Goa,9,68,152,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yes,,,,,AT1-Motor Cycles/ Scooters,0,0,0,0,0,1. Motor Cycles/ Scooters,0,0,0,0,0,0,0,0,0
